"spellid","charactername","species","gender","house","patronus","incantation","spellname","light","chaptername","movietitle","runtime","budget","placeid","dialogues"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Okay."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Backfire","Harry Potter and the Chamber of Secrets","161","$100,000,000 ",25,"I'm fine!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"And Harry, you'll go with Malfoy."
12,"Draco Malfoy","Human","Male","Slytherin",NULL,"Confringo","Blasting Curse","Fiery Orange","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Okay. Then I get Fang!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Fine. Just so you know, he's a bloody coward."
12,"Draco Malfoy","Human","Male","Slytherin",NULL,"Confringo","Blasting Curse","Fiery Orange","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"You wait till my father hears about this. This is servant's stuff."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"If I didn't know better, Draco, I'd say you were scared."
12,"Draco Malfoy","Human","Male","Slytherin",NULL,"Confringo","Blasting Curse","Fiery Orange","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Scared, Potter?!  Did you hear that? Come on, Fang. Scared."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"What is it, Fang?"
12,"Draco Malfoy","Human","Male","Slytherin",NULL,"Confringo","Blasting Curse","Fiery Orange","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"HELP!!!!!"
NULL,"Firenze","Centaur","Male",NULL,NULL,NULL,NULL,NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Harry Potter, you must leave. You are known to many creatures here. The forest is not safe at this time. Especially for you."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"But what was that thing you saved me from?"
NULL,"Firenze","Centaur","Male",NULL,NULL,NULL,NULL,NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"A monstrous creature. It is a terrible crime to slay a unicorn. Drinking the blood of a unicorn will keep you alive even if you are an inch from death. But at a terrible price. You have slain something so pure that the moment the blood touches your lips, you will have a half-life. A cursed life."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"But who would choose such a life?"
NULL,"Firenze","Centaur","Male",NULL,NULL,NULL,NULL,NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Can you think of no one?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Do you mean to say...that that thing that killed the unicorn...that was drinking its blood...that was Voldemort?"
NULL,"Firenze","Centaur","Male",NULL,NULL,NULL,NULL,NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Do you know what is hidden in the school at this very moment?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"The Philosopher's Stone."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Harry!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Hello there, Firenze. I see you've met our young Mr. Potter. You all right there, Harry?"
NULL,"Firenze","Centaur","Male",NULL,NULL,NULL,NULL,NULL,"The Forbidden Forest","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",35,"Harry Potter, this is where I leave you. You're safe now. Good luck."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Up to Something","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"You mean You-Know-Who's out there, right now, in the forest?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Up to Something","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"But he's weak. He's living off the unicorns. Don't you see? We had it wrong! Snape doesn't want the Stone for himself; he wants the Stone for Voldemort. With the Elixir of Life, Voldemort will be strong again. He'll... he'll come back."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Up to Something","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"But, if he comes back, you don't think he'll try to... kill you, do you?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Up to Something","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I think if he'd had the chance, he might've tried to kill me tonight."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Up to Something","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"And to think I've been worrying about my Potions final."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Up to Something","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Hang on a minute.  We're forgetting one thing. Who's the one wizard Voldemort always feared? Dumbledore. As long as Dumbledore's around, Harry, you're safe. As long as Dumbledore's around, you can't be touched."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I've always heard Hogwarts' end of the year exams were frightful, but I found that rather enjoyable."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Speak for yourself. All right there, Harry?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"My scar. It keeps burning."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"It's happened before."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Not like this."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Perhaps you should see the nurse."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I think it's a warning. It means dangers coming. Uhh!  Oh. Of course!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"What is it?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?  I mean, how many people wander around with dragon eggs in their pockets? Why didn't I see it before? Hagrid, who gave you the dragon egg?  What did he look like?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I don't know. I never saw his face. He kept his hood up."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"The stranger, though, you and he must have talked."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Well, he wanted to know what sort of creatures I looked after. I told him. I said, ""After Fluffy, a dragon's gonna be no problem."""
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"And did he seem interested in Fluffy?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Well, of course he was interested in Fluffy! How often do you come across a three headed dog, even if you're in the trade? But I told him. I said, ""The trick with any beast is to know how to calm him. Take Fluffy, for example, just play him a bit of music and he falls straight to sleep."""
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I shouldn't have told you that. Where you going?! Wait!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"We have to see Professor Dumbledore, immediately!"
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I'm afraid Professor Dumbledore is not here. He received an urgent owl from the Ministry of Magic and left immediately for London."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"He's gone?! Now? But this is important! It's about...the Philosopher's Stone."
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"How do you know ?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Someone's going to try and steal it."
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"I don't know how you three found out about the stone, but I can assure you it is perfectly well-protected. Now would you go back to your dormitories? Quietly."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"And with Dumbledore gone"
6,"Severus Snape","Human","Male","Slytherin","Doe","Arresto Momentum","Slowing Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Good afternoon. Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Uh...we were just..."
6,"Severus Snape","Human","Male","Slytherin","Doe","Arresto Momentum","Slowing Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"You want to be careful. People will think you're  up to something."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Now what do we do?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"We go down the trapdoor. Tonight."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Trevor."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Trevor shh! Go, you shouldn't be here!"
10,"Neville Longbottom","Human","Male","Gryffindor",NULL,"Cistem Aperio","Cistem Aperio","White","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Neither should you. You're sneaking out again, arent you?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Now, Neville, listen. We were"
10,"Neville Longbottom","Human","Male","Gryffindor",NULL,"Cistem Aperio","Cistem Aperio","White","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"No! I won't let you!  You'll get Gryffindor in trouble again! I-I'll fight you."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Neville, I'm really, really sorry about this... Petrificus Totalus."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"You're a little scary sometimes...you know that? Brilliant, but scary."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",39,"Let's go.  Sorry."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Sorry."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"It's for your own good, you know."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Ow! You stood on my foot!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Sorry."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Alohomora."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Wait a minute...he's.... Sleeping."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Snape's already been here. He's put a spell on the harp."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Uh. It's got horrible breath!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"We have to move its paw."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"What?!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","The Burrow","Harry Potter and the Chamber of Secrets","161","$100,000,000 ",17,"Do you think it'd be all right if we had some of this?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Come on!  Okay. Push!  I'll go first. Don't follow until I give you a sign.  If something bad happens, get yourselves out...Does it seem a bit...quiet?"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"The harp. It stopped playing."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Ew! Yuck! Ugh."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",59,"Jump! Go!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Ahh!  Whoa. Lucky this plant-thing is here, really."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Whoa!  Oh. Ahh!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Stop moving, both of you. This is Devil's Snare. You have to relax. If you don't, it will only kill you faster."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Kill us faster?! Oh, now I can relax!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Hermione!!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Hermione!!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Now what are we gonna do?!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Just relax!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Hermione! Where are you?!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Do what I say. Trust me."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Ahh! Harry!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Harry!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Are you okay?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Yeah, yeah, I'm fine."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Help!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"He's not relaxing, is he?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Apparently not."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Help! Help me!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"We've got to do something!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"What?"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Uh! I remember reading something in Herbology."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Help!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Um Devil's Snare, Devil's Scare,  it's deadly fun...but will sulk in the sun! That's it! Devil's Snare hates sunlight!  Lumos Solem!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Ahhh!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Ron, are you okay?"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Yeah."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Okay."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Whew. Lucky we didn't panic!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Lucky Hermione pays attention in Herbology."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"What is that?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"I don't know. Sounds like wings."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Curious. I've never seen birds like these."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"They're not birds, they're keys. And I'll bet one of them fits that door."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"What's this all about?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"I don't know. Strange."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Alohomora!  Well, it was worth a try."
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Ugh! What're we going to do? There must be 1000 keys up there!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"We're looking for a big old fashioned one. Probably rusty like the handle."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"There! I see it!  The one with the broken wing!"
3,"Hermione Granger","Human","Female","Gryffindor","Otter","Alarte Ascendare","Launch an object up into the air","Red","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"What's wrong, Harry?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"It's too simple."
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Oh, go on, Harry! If Snape can catch it on that old broomstick, you can! You're the youngest seeker in a century!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"This complicates things a bit!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Catch the key!"
2,"Ron Weasley","Human","Male","Gryffindor","Jack Russell Terrier","Aguamenti","Water-Making Spell","Icy blue","Through the Trapdoor","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",64,"Hurry up!"
